,title,genres,description,poster,url
10,Teasing Master Takagi-san: The Movie,"['Shounen', 'Slice of Life']","Takagi and Nishikata's final summer in junior high is about to begin, and it's already off to a heartwarming start! When the pair find an abandoned kitten, they decide to work together and take care of their adorable new companion until they can locate its missing mother.  (Source: Sentai Filmworks)",https://img.flawlessfiles.com/_r/300x400/100/67/ac/67ac19a9ebdd2c928b36dd9ce01367f3/67ac19a9ebdd2c928b36dd9ce01367f3.jpg,https://aniwatch.to/teasing-master-takagisan-the-movie-18253
11,One Piece Film: Red,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Shounen']","As a child, Uta—the Red Hair Pirates' ex-musician and Monkey D. Luffy's childhood friend—promised that she would build a new era of freedom by performing joyful music for the world.  Luffy and the Straw Hat Crew arrive at Uta's first ever live concert, where many fans have gathered to enjoy the diva's otherworldly singing. Due to a childhood trauma, Uta bears a deep-seated hatred for pirates; her happy reunion with Luffy is cut short when she learns that he has since become one. Luffy's refusal to change his ways results in Uta unleashing her powers on the Straw Hats. The crew soon learns that their minds have already been trapped in Uta's dream world since the beginning of the concert, while their unconscious bodies remain asleep in the real world.  With time quickly running out, the Straw Hats must find a way to escape the nightmare or be trapped in Uta's dream forever.",https://img.flawlessfiles.com/_r/300x400/100/a1/e9/a1e98b07e290cd9653b41a895342a377/a1e98b07e290cd9653b41a895342a377.jpg,https://aniwatch.to/one-piece-film-red-18236
12,Dragon Ball Super: Super Hero,"['Action', 'Adventure', 'Fantasy', 'Shounen']","Years after his father is defeated by an adolescent Gokuu Son, Magenta seeks revenge against Gokuu's family and allies. In his quest to resurrect the defunct Red Ribbon Army, Magenta drafts the services of Dr. Hedo, grandson of the evil legendary scientist Dr. Gero. Hedo embarks to invent a new line of superheroic androids to eliminate Gokuu after Magenta manipulates him into believing that Earth's most powerful heroes are actually alien villains.  While Gokuu and Vegeta train offworld, the alien Piccolo mentors Pan, Gokuu's toddler granddaughter, in the same way he once trained Gohan Son, her father. Gohan himself has forsaken his warrior lineage in order to pursue an academic career. Both Piccolo and Gohan must leap into action when their quiet lives are interrupted by the arrival of Gamma 1-gou and Gamma 2-gou—Hedo's new android creations.  While the Gamma androids believe they are fighting for justice, a more sinister project incubates beneath the Red Ribbon headquarters. Gohan and Piccolo take drastic actions to protect Pan and defend the planet against a new robotic menace.",https://img.flawlessfiles.com/_r/300x400/100/e3/a0/e3a0c29bf713cc99e35de227eb9c93d8/e3a0c29bf713cc99e35de227eb9c93d8.jpg,https://aniwatch.to/dragon-ball-super-super-hero-18232
13,Hanako,"['School', 'Supernatural']",is an independent short anime made by Mitsuru Sasaki.,https://img.flawlessfiles.com/_r/300x400/100/9e/21/9e218eacea3adb9617e2c29086374f39/9e218eacea3adb9617e2c29086374f39.jpg,https://aniwatch.to/hanako-18231
14,Detective Conan Movie 25: The Bride of Halloween,"['Mystery', 'Shounen']","Shibuya, Tokyo, is bustling with the Halloween season. A wedding is being held at Shibuya Hikarie, where Sato is dressed in a wedding dress. While Conan and the other invited guests are watching, an assailant suddenly bursts in, and Takagi, who was trying to protect Sato, is injured. Takagi survived and the situation was settled, but in Sato's eyes, the image of the grim reaper that she had seen when Jinpei Matsuda, the man she had been in love with, had been killed in a series of bombings three years ago, overlapped with Takagi's.  At the same time, the perpetrator of the bombings escapes from prison. Rei Furuya/Toru Amuro, a member of the public safety police, is hunting down the man who killed his classmate, but a mysterious person in disguise suddenly appears and puts a collar bomb on him.  Conan visits the underground shelter where Amuro is hiding out to disarm the collar bomb, and hears about an incident three years ago when he and his now deceased classmates from the police academy encountered an unidentified virtual bomber named ""Plamya"" in Shibuya. As Conan and his team investigate, a disturbing shadow begins to loom over them.",https://img.flawlessfiles.com/_r/300x400/100/8f/85/8f853b563b758977252bcfc34c7b34f0/8f853b563b758977252bcfc34c7b34f0.jpg,https://aniwatch.to/detective-conan-movie-25-the-bride-of-halloween-18225
15,Ginga Eiyuu Densetsu: Die Neue These 4th Season,"['Drama', 'Sci-Fi', 'Space', 'Military']","The social and political reforms implemented by Reinhard are finding growing consensus among the citizens of the Galactic Empire. Meanwhile, the Free Planets Alliance is experiencing a declining phase, its national power weakened significantly due to widespread government corruption, despite military success has been achieved on the battlefields. As the balance of power between the two super states dominating the Galaxy is clearly undergoing a major shift, Adrian Rubinsky, the Landesherr of the autonomous and nominally neutral dominion of Fezzan, sees an opportunity to take advantage from the situation.",https://img.flawlessfiles.com/_r/300x400/100/13/36/1336a7b4726feec77a8fec326e9cc78f/1336a7b4726feec77a8fec326e9cc78f.jpg,https://aniwatch.to/ginga-eiyuu-densetsu-die-neue-these-4th-season-18211
16,That Time I Got Reincarnated as a Slime: The Movie - Scarlet Bond,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Isekai']","In Raja, a small country located to the west of Tempest. Rimuru and his companions get involved in a long-running conspiracy that swirls around the mysterious power of the queen. Rimuru and his commander Benimaru also encounter another ogre survivor named Hiiro, a man that used to be the brother of Benimaru.",https://img.flawlessfiles.com/_r/300x400/100/0f/39/0f3997b21b21a4d49a73ad751de50a5e/0f3997b21b21a4d49a73ad751de50a5e.jpg,https://aniwatch.to/that-time-i-got-reincarnated-as-a-slime-the-movie-scarlet-bond-18191
17,Suzume’s Door-Locking,"['Mystery', 'Fantasy', 'Sci-Fi']","On her way to school one day, Suzume Iwato stumbles upon Souta Munakata, a young man searching for abandoned areas. The high school girl directs Souta to a nearby ruin, but out of pure curiosity, she herself decides to head to the same destination.

Once there, Suzume discovers an isolated door with a dreamlike universe lying beyond it—a place that she can see and feel, but not enter. A strange stone rests on the ground nearby, but it turns into a cat-like creature and scurries away when Suzume lifts it. Suddenly afraid, she heads back toward her school, not realizing that her act of leaving the door open will have consequences.

With the ""keystone"" released, the evil within the other universe can now freely escape and wreak havoc throughout Japan. Intending to correct her dangerous mistake, Suzume joins Souta—whose true goal is to prevent evil from festering—in finding and locking all open doors before the country is destroyed.",https://img.flawlessfiles.com/_r/300x400/100/88/d7/88d7186ebed8856c731b2dd132aaf68a/88d7186ebed8856c731b2dd132aaf68a.jpg,https://aniwatch.to/suzumes-doorlocking-18190
18,Sword Art Online: Progressive - Scherzo of Deep Night,"['Action', 'Adventure', 'Fantasy', 'Romance']","After vanquishing another boss and stepping through the gates of the fifth floor, the misfit duo Kazuto ""Kirito"" Kirigaya and Asuna Yuuki are greeted with a beautiful landscape of crumbling ruins and catacombs steeped in mystery. This idyllic adventure is short-lived, however. Tensions between the Dragon’s Knights Brigade and the Aincrad Liberation Squad—the two leading guilds focused on clearing Sword Art Online—continue to rise and threaten the fragile stability of the frontline raiding group.

Kirito and Asuna are forced to act quickly, making a desperate gamble and gathering a small number of allies for a dangerous mission. As a result, Asuna and Misumi ""Mito"" Tozawa must come to terms with their relationship after the near-tragedy that forced them apart on the first floor.",https://img.flawlessfiles.com/_r/300x400/100/1f/ae/1fae90b9ac557db63c781bae51ba2fa1/1fae90b9ac557db63c781bae51ba2fa1.jpg,https://aniwatch.to/sword-art-online-progressive-scherzo-of-deep-night-18189
19,To Every You I've Loved Before,"['Romance', 'Sci-Fi']","A world where it has been established that people routinely swing between slightly different parallel worlds...  Koyomi Takasaki, who lives with his mother following his parents' divorce, enrolls in a local university prep school. Due to the atmosphere concentrated on studies and his social awkwardness, Koyomi is unable to make friends. One day, he is suddenly approached by his classmate Kazune Takigawa, who tells him that she has travelled from the 85th world where she and Koyomi are lovers.",https://img.flawlessfiles.com/_r/300x400/100/36/7a/367ad0995e8b6291efdc190dec85166e/367ad0995e8b6291efdc190dec85166e.jpg,https://aniwatch.to/to-every-you-ive-loved-before-18188
